GeneID	106-r	106-r__1	106-r__2	106-s	106-s__1	106-s__2	713-r	713-r__1	713-r__2	713-s	713-s__1	713-s__2	WB-r	WB-r__1	WB-r__2	WB-s	WB-s__1	WB-s__2
GL50803_3861	466.33327538619	420.492197297685	411.185172992589	614.036219813108	502.515574947243	516.538361622945	654.354989365329	580.047418095473	564.386453521868	489.232455339904	535.054784679482	505.637247950689	592.575644561287	517.802923271884	394.800957567875	377.605212293525	387.614672909119	346.587316030538
GL50803_38628	1.35595766209082	1.67317821506302	1.64628221076771	1.11776816152954	0.729598959257581	1.06852971732065	2.11004682834559	1.99886116737262	1.92958204365893	1.13146194984594	0.856106147379955	1.38994193777799	1.1643368277649	1.02524540002802	1.07494157238741	1.50493932898289	1.11211064329106	1.04928552584557
GL50803_38637	3.7966814538543	3.65057065104659	2.86852203391344	3.54769894746331	2.57505515032087	3.24668644878198	2.91040941840771	3.8223836358529	3.51612727955627	6.29847152080908	6.46360141271866	3.89183742577836	5.20070449734987	4.64777914679368	6.02618760277793	4.73613259415202	5.11570895913888	5.94595131312489
GL50803_3867	60.9340254190373	67.6618059460439	66.0842623072019	41.6689391033496	37.6567481665757	38.6824196588804	50.9561756998368	51.6603915320464	46.1586040563895	58.496205653052	52.1800977358819	57.4747940980886	59.6753673211584	59.4266408702907	51.2124966876293	55.093173058777	61.7681079425766	53.4383630221051
GL50803_3868	81.3122611367129	83.2330108438622	100.123890818509	59.1445153296281	63.9042853137964	59.015718233556	73.1604167552239	83.0754755351882	76.0255325201618	48.8791562333447	41.0930950742378	61.0879481653425	61.5934181887631	72.1089264686373	66.0274717342209	68.3419507043993	67.9128899503075	53.7758831995854
GL50803_38685	1.67234778324535	1.61233537087891	1.97054991894923	1.94394462874702	1.75962101938593	1.9726702473612	1.60072518012424	1.50791281047408	1.32926763007615	3.50753204452242	3.63845112636481	2.98837516622267	1.43601542091004	1.70874233338003	1.79156928731236	2.43446067923702	2.33543235091123	1.57392828876835
GL50803_38689	15.909903235199	16.610096462262	14.2428354901267	11.9066608510755	8.9268578544457	10.9318809541267	17.3169360395259	18.6560375621444	19.2100612346489	13.7284049914641	16.1376008781121	13.5519338933354	20.686384306623	18.3860675071691	22.5086250460516	15.0051303683882	16.5333782302604	16.7885684135291
GL50803_3869	67.7526845158047	90.8079449447839	83.2869136629301	62.5950170456541	69.2689835436315	68.5502910958019	73.9971594630161	62.3153735863358	64.405160657238	99.9835209680531	78.5905443294798	94.5160517689031	58.721387346943	52.5609141747697	58.1771408570885	70.9092001479583	77.514111837387	81.9317114764415
GL50803_38691	6.01141230193598	5.93217730795071	4.41502956524068	4.66546710899285	4.37759375554549	4.64399454066284	4.47475448080186	4.76921260987151	4.54523770284103	3.69610903616341	3.98089358531679	4.16982581333396	6.63671991825991	7.07419326019332	6.90568525291308	6.37386068745693	5.59762357123168	6.03339177361202
GL50803_38693	3.61588709890886	3.68099207313864	3.39233910097589	4.7626643404302	3.99133548299736	4.84948102476296	4.58389483399215	4.2431965131945	4.41659889993044	7.35450267399863	7.79056594115759	9.41685662844586	3.84231153162416	3.65670859343326	3.45284262645654	5.57712810152481	6.45024173108816	6.64547499702194
GL50803_38712	2.07913508187259	1.76444248133918	1.82088789978853	1.84674739730967	3.00423100870769	2.26035132510138	2.97443842561268	3.15609658006203	2.91581286597349	1.81033911975351	2.84997736462787	2.18915855200033	2.32867365552979	2.28971472672924	3.22482471716224	2.65577528644039	2.40957306046397	2.75437450534462
GL50803_38723	11.1640514178811	10.2824406671146	11.8981305232757	9.03934252367365	8.02558855183339	8.58933503538525	12.6239008523435	15.0089926251839	13.2069170988211	12.1066428633516	10.5301056127734	10.1813246942237	26.0423337143415	23.5806442006444	17.1339171841145	15.978914640083	15.1988454583112	15.6081221969528
GL50803_38776	9.49170363463575	12.2598331030981	12.3970039204781	5.83183388624107	12.3602647215402	9.53457286224582	12.5147604991532	13.8517572124944	11.5346126609834	11.1637579051466	10.7013268422494	12.5442259884463	6.52028623548343	6.97166872019052	9.38130826810834	8.0558517022025	8.89688514632849	10.7551766399171
